"file_name","task_type","category","tier","recipe_name","description","version","imputation_method","imputation_max_iter","imputation_estimator","encoding_method","encoding_smoothing","encoding_handle_unknown","scaling_method","scaling_output_distribution","scaling_n_quantiles","imbalance_method","imbalance_sampling_strategy","imbalance_k_neighbors","outlier_method","outlier_threshold","outlier_strategy","outlier_limits","feature_selection_method","feature_selection_threshold","feature_selection_n_repeats","feature_selection_scoring","variant_id","leakage_risk","estimated_runtime_sec","generation_mode","v1_expected_quality","v1_max_runtime_seconds","v1_level","v1_compatibility_score","performance_tier","expected_runtime_seconds","research_citations"
"variant_9f4eb1930a32.yml","classification","variant_search","","9f4eb1930a32","Pipeline Variant: mean+smotetomek+onehot+none+variance","1.0","mean","","","onehot","","","none","","","smotetomek","","","","","","","variance","","","","9f4eb1930a32","medium","30","grid_sample","","","","","","",""
"variant_9fbcbd6c1c20.yml","classification","variant_search","","9fbcbd6c1c20","Pipeline Variant: mean+smoteenn+onehot+minmax+correlation","1.0","mean","","","onehot","","","minmax","","","smoteenn","","","","","","","correlation","0.95","","","9fbcbd6c1c20","medium","30","grid_sample","","","","","","",""
"variant_a03f73482e25.yml","classification","variant_search","","a03f73482e25","Pipeline Variant: mean+label+none+correlation","1.0","mean","","","label","","","none","","","none","","","","","","","correlation","0.9","","","a03f73482e25","none","30","grid_sample","","","","","","",""
"variant_a0572280a150.yml","classification","variant_search","","a0572280a150","Pipeline Variant: mean+onehot+minmax+correlation","1.0","mean","","","onehot","","","minmax","","","none","","","","","","","correlation","0.85","","","a0572280a150","none","30","grid_sample","","","","","","",""
"variant_a058f6f16322.yml","classification","variant_search","","a058f6f16322","Pipeline Variant: mean+onehot+standard+variance","1.0","mean","","","onehot","","","standard","","","none","","","","","","","variance","","","","a058f6f16322","none","30","grid_sample","","","","","","",""
"variant_a3dab53a4a64.yml","classification","variant_search","","a3dab53a4a64","Pipeline Variant: mean+smotetomek+onehot+none+none","1.0","mean","","","onehot","","","none","","","smotetomek","","","","","","","none","","","","a3dab53a4a64","medium","30","grid_sample","","","","","","",""
"variant_a43b1a76e761.yml","classification","variant_search","","a43b1a76e761","Pipeline Variant: mean+onehot+yeo_johnson+correlation","1.0","mean","","","onehot","","","yeo_johnson","","","none","","","","","","","correlation","0.85","","","a43b1a76e761","none","30","grid_sample","","","","","","",""
"variant_a44ba5685882.yml","classification","variant_search","","a44ba5685882","Pipeline Variant: mean+smotetomek+onehot+standard+correlation","1.0","mean","","","onehot","","","standard","","","smotetomek","","","","","","","correlation","0.9","","","a44ba5685882","medium","30","grid_sample","","","","","","",""
"variant_a7c76be8c66b.yml","classification","variant_search","","a7c76be8c66b","Pipeline Variant: mean+smotetomek+label+robust+correlation","1.0","mean","","","label","","","robust","","","smotetomek","","","","","","","correlation","0.85","","","a7c76be8c66b","medium","30","grid_sample","","","","","","",""
"variant_a8e60ecbbb87.yml","classification","variant_search","","a8e60ecbbb87","Pipeline Variant: mean+label+robust+correlation","1.0","mean","","","label","","","robust","","","none","","","","","","","correlation","0.9","","","a8e60ecbbb87","none","30","grid_sample","","","","","","",""
"variant_a974d5424ce9.yml","classification","variant_search","","a974d5424ce9","Pipeline Variant: mean+smotetomek+label+quantile+none","1.0","mean","","","label","","","quantile","","","smotetomek","","","","","","","none","","","","a974d5424ce9","medium","30","grid_sample","","","","","","",""
"variant_a979241a07b5.yml","classification","variant_search","","a979241a07b5","Pipeline Variant: mean+label+standard+variance","1.0","mean","","","label","","","standard","","","none","","","","","","","variance","","","","a979241a07b5","none","30","grid_sample","","","","","","",""
"variant_a9c2a469d5ac.yml","classification","variant_search","","a9c2a469d5ac","Pipeline Variant: mean+smoteenn+label+yeo_johnson+variance","1.0","mean","","","label","","","yeo_johnson","","","smoteenn","","","","","","","variance","","","","a9c2a469d5ac","medium","30","grid_sample","","","","","","",""
"variant_aa3d78cd6416.yml","classification","variant_search","","aa3d78cd6416","Pipeline Variant: mean+smoteenn+onehot+none+correlation","1.0","mean","","","onehot","","","none","","","smoteenn","","","","","","","correlation","0.9","","","aa3d78cd6416","medium","30","grid_sample","","","","","","",""
"variant_aa8c00803f1a.yml","classification","variant_search","","aa8c00803f1a","Pipeline Variant: mean+label+standard+correlation","1.0","mean","","","label","","","standard","","","none","","","","","","","correlation","0.9","","","aa8c00803f1a","none","30","grid_sample","","","","","","",""
"variant_ac78f7269a25.yml","classification","variant_search","","ac78f7269a25","Pipeline Variant: mean+label+quantile+correlation","1.0","mean","","","label","","","quantile","","","none","","","","","","","correlation","0.85","","","ac78f7269a25","none","30","grid_sample","","","","","","",""
"variant_ad94d6413862.yml","classification","variant_search","","ad94d6413862","Pipeline Variant: mean+smotetomek+label+none+correlation","1.0","mean","","","label","","","none","","","smotetomek","","","","","","","correlation","0.85","","","ad94d6413862","medium","30","grid_sample","","","","","","",""
"variant_ae8e0f02bc9c.yml","classification","variant_search","","ae8e0f02bc9c","Pipeline Variant: mean+onehot+minmax+correlation","1.0","mean","","","onehot","","","minmax","","","none","","","","","","","correlation","0.9","","","ae8e0f02bc9c","none","30","grid_sample","","","","","","",""
"variant_b1902cfa0746.yml","classification","variant_search","","b1902cfa0746","Pipeline Variant: mean+smoteenn+label+yeo_johnson+none","1.0","mean","","","label","","","yeo_johnson","","","smoteenn","","","","","","","none","","","","b1902cfa0746","medium","30","grid_sample","","","","","","",""
"variant_b1bb6d218ab0.yml","classification","variant_search","","b1bb6d218ab0","Pipeline Variant: mean+smoteenn+label+robust+correlation","1.0","mean","","","label","","","robust","","","smoteenn","","","","","","","correlation","0.9","","","b1bb6d218ab0","medium","30","grid_sample","","","","","","",""
"variant_b2795a2d572d.yml","classification","variant_search","","b2795a2d572d","Pipeline Variant: mean+onehot+standard+correlation","1.0","mean","","","onehot","","","standard","","","none","","","","","","","correlation","0.85","","","b2795a2d572d","none","30","grid_sample","","","","","","",""
"variant_b37447062342.yml","classification","variant_search","","b37447062342","Pipeline Variant: mean+label+minmax+correlation","1.0","mean","","","label","","","minmax","","","none","","","","","","","correlation","0.85","","","b37447062342","none","30","grid_sample","","","","","","",""
"variant_b596b4d338ca.yml","classification","variant_search","","b596b4d338ca","Pipeline Variant: mean+smotetomek+onehot+standard+correlation","1.0","mean","","","onehot","","","standard","","","smotetomek","","","","","","","correlation","0.95","","","b596b4d338ca","medium","30","grid_sample","","","","","","",""
"variant_b84dafd311d5.yml","classification","variant_search","","b84dafd311d5","Pipeline Variant: mean+smotetomek+label+robust+correlation","1.0","mean","","","label","","","robust","","","smotetomek","","","","","","","correlation","0.9","","","b84dafd311d5","medium","30","grid_sample","","","","","","",""
"variant_b9312178d135.yml","classification","variant_search","","b9312178d135","Pipeline Variant: mean+smoteenn+label+standard+correlation","1.0","mean","","","label","","","standard","","","smoteenn","","","","","","","correlation","0.95","","","b9312178d135","medium","30","grid_sample","","","","","","",""
"variant_bb7314e61102.yml","classification","variant_search","","bb7314e61102","Pipeline Variant: mean+label+robust+none","1.0","mean","","","label","","","robust","","","none","","","","","","","none","","","","bb7314e61102","none","30","grid_sample","","","","","","",""
"variant_bd19022fc13c.yml","classification","variant_search","","bd19022fc13c","Pipeline Variant: mean+smotetomek+onehot+none+correlation","1.0","mean","","","onehot","","","none","","","smotetomek","","","","","","","correlation","0.9","","","bd19022fc13c","medium","30","grid_sample","","","","","","",""
"variant_bd43a0dd77c2.yml","classification","variant_search","","bd43a0dd77c2","Pipeline Variant: mean+smotetomek+onehot+yeo_johnson+variance","1.0","mean","","","onehot","","","yeo_johnson","","","smotetomek","","","","","","","variance","","","","bd43a0dd77c2","medium","30","grid_sample","","","","","","",""
"variant_bf704437e30e.yml","classification","variant_search","","bf704437e30e","Pipeline Variant: mean+smoteenn+label+quantile+correlation","1.0","mean","","","label","","","quantile","","","smoteenn","","","","","","","correlation","0.85","","","bf704437e30e","medium","30","grid_sample","","","","","","",""
"variant_c2b001688c35.yml","classification","variant_search","","c2b001688c35","Pipeline Variant: mean+smotetomek+label+standard+none","1.0","mean","","","label","","","standard","","","smotetomek","","","","","","","none","","","","c2b001688c35","medium","30","grid_sample","","","","","","",""
"variant_c4a14f50d97b.yml","classification","variant_search","","c4a14f50d97b","Pipeline Variant: mean+smotetomek+onehot+quantile+none","1.0","mean","","","onehot","","","quantile","","","smotetomek","","","","","","","none","","","","c4a14f50d97b","medium","30","grid_sample","","","","","","",""
"variant_c5da6d1f2ae8.yml","classification","variant_search","","c5da6d1f2ae8","Pipeline Variant: mean+label+quantile+correlation","1.0","mean","","","label","","","quantile","","","none","","","","","","","correlation","0.95","","","c5da6d1f2ae8","none","30","grid_sample","","","","","","",""
"variant_c6331cf1e6e9.yml","classification","variant_search","","c6331cf1e6e9","Pipeline Variant: mean+smoteenn+label+minmax+correlation","1.0","mean","","","label","","","minmax","","","smoteenn","","","","","","","correlation","0.9","","","c6331cf1e6e9","medium","30","grid_sample","","","","","","",""
"variant_ca25426caa41.yml","classification","variant_search","","ca25426caa41","Pipeline Variant: mean+smoteenn+onehot+standard+none","1.0","mean","","","onehot","","","standard","","","smoteenn","","","","","","","none","","","","ca25426caa41","medium","30","grid_sample","","","","","","",""
"variant_cd0f11c7457a.yml","classification","variant_search","","cd0f11c7457a","Pipeline Variant: mean+smoteenn+onehot+quantile+correlation","1.0","mean","","","onehot","","","quantile","","","smoteenn","","","","","","","correlation","0.95","","","cd0f11c7457a","medium","30","grid_sample","","","","","","",""
"variant_cd182105ae82.yml","classification","variant_search","","cd182105ae82","Pipeline Variant: mean+smoteenn+onehot+robust+correlation","1.0","mean","","","onehot","","","robust","","","smoteenn","","","","","","","correlation","0.9","","","cd182105ae82","medium","30","grid_sample","","","","","","",""
"variant_cd8cb02924e6.yml","classification","variant_search","","cd8cb02924e6","Pipeline Variant: mean+smoteenn+label+quantile+correlation","1.0","mean","","","label","","","quantile","","","smoteenn","","","","","","","correlation","0.95","","","cd8cb02924e6","medium","30","grid_sample","","","","","","",""
"variant_ce2e8ae8c9bc.yml","classification","variant_search","","ce2e8ae8c9bc","Pipeline Variant: mean+smoteenn+label+yeo_johnson+correlation","1.0","mean","","","label","","","yeo_johnson","","","smoteenn","","","","","","","correlation","0.95","","","ce2e8ae8c9bc","medium","30","grid_sample","","","","","","",""
"variant_d5abe78755a1.yml","classification","variant_search","","d5abe78755a1","Pipeline Variant: mean+label+minmax+variance","1.0","mean","","","label","","","minmax","","","none","","","","","","","variance","","","","d5abe78755a1","none","30","grid_sample","","","","","","",""
"variant_d6ffe34bac33.yml","classification","variant_search","","d6ffe34bac33","Pipeline Variant: mean+label+robust+variance","1.0","mean","","","label","","","robust","","","none","","","","","","","variance","","","","d6ffe34bac33","none","30","grid_sample","","","","","","",""
"variant_d77a843f82dc.yml","classification","variant_search","","d77a843f82dc","Pipeline Variant: mean+smoteenn+onehot+yeo_johnson+none","1.0","mean","","","onehot","","","yeo_johnson","","","smoteenn","","","","","","","none","","","","d77a843f82dc","medium","30","grid_sample","","","","","","",""
"variant_d9b520571e00.yml","classification","variant_search","","d9b520571e00","Pipeline Variant: mean+label+none+correlation","1.0","mean","","","label","","","none","","","none","","","","","","","correlation","0.85","","","d9b520571e00","none","30","grid_sample","","","","","","",""
"variant_da10cc2f472e.yml","classification","variant_search","","da10cc2f472e","Pipeline Variant: mean+smoteenn+label+minmax+correlation","1.0","mean","","","label","","","minmax","","","smoteenn","","","","","","","correlation","0.95","","","da10cc2f472e","medium","30","grid_sample","","","","","","",""
"variant_da8f19624a11.yml","classification","variant_search","","da8f19624a11","Pipeline Variant: mean+label+yeo_johnson+correlation","1.0","mean","","","label","","","yeo_johnson","","","none","","","","","","","correlation","0.85","","","da8f19624a11","none","30","grid_sample","","","","","","",""
"variant_dc935858bff5.yml","classification","variant_search","","dc935858bff5","Pipeline Variant: mean+smotetomek+onehot+robust+correlation","1.0","mean","","","onehot","","","robust","","","smotetomek","","","","","","","correlation","0.95","","","dc935858bff5","medium","30","grid_sample","","","","","","",""
"variant_ddce3dd5a6fe.yml","classification","variant_search","","ddce3dd5a6fe","Pipeline Variant: mean+smoteenn+label+none+correlation","1.0","mean","","","label","","","none","","","smoteenn","","","","","","","correlation","0.9","","","ddce3dd5a6fe","medium","30","grid_sample","","","","","","",""
"variant_de027b0f1164.yml","classification","variant_search","","de027b0f1164","Pipeline Variant: mean+smotetomek+onehot+minmax+none","1.0","mean","","","onehot","","","minmax","","","smotetomek","","","","","","","none","","","","de027b0f1164","medium","30","grid_sample","","","","","","",""
"variant_de31357bf8f1.yml","classification","variant_search","","de31357bf8f1","Pipeline Variant: mean+smotetomek+onehot+minmax+correlation","1.0","mean","","","onehot","","","minmax","","","smotetomek","","","","","","","correlation","0.95","","","de31357bf8f1","medium","30","grid_sample","","","","","","",""
"variant_e08713a01fa0.yml","classification","variant_search","","e08713a01fa0","Pipeline Variant: mean+smoteenn+onehot+standard+correlation","1.0","mean","","","onehot","","","standard","","","smoteenn","","","","","","","correlation","0.85","","","e08713a01fa0","medium","30","grid_sample","","","","","","",""
"variant_e22978eac092.yml","classification","variant_search","","e22978eac092","Pipeline Variant: mean+smotetomek+onehot+yeo_johnson+none","1.0","mean","","","onehot","","","yeo_johnson","","","smotetomek","","","","","","","none","","","","e22978eac092","medium","30","grid_sample","","","","","","",""
"variant_e3f3fc6cc96a.yml","classification","variant_search","","e3f3fc6cc96a","Pipeline Variant: mean+label+quantile+correlation","1.0","mean","","","label","","","quantile","","","none","","","","","","","correlation","0.9","","","e3f3fc6cc96a","none","30","grid_sample","","","","","","",""
"variant_e5842fe1fdb4.yml","classification","variant_search","","e5842fe1fdb4","Pipeline Variant: mean+label+yeo_johnson+correlation","1.0","mean","","","label","","","yeo_johnson","","","none","","","","","","","correlation","0.9","","","e5842fe1fdb4","none","30","grid_sample","","","","","","",""
"variant_e5ffc361e36f.yml","classification","variant_search","","e5ffc361e36f","Pipeline Variant: mean+smotetomek+onehot+standard+none","1.0","mean","","","onehot","","","standard","","","smotetomek","","","","","","","none","","","","e5ffc361e36f","medium","30","grid_sample","","","","","","",""
"variant_ea33ab967c12.yml","classification","variant_search","","ea33ab967c12","Pipeline Variant: mean+smotetomek+label+standard+variance","1.0","mean","","","label","","","standard","","","smotetomek","","","","","","","variance","","","","ea33ab967c12","medium","30","grid_sample","","","","","","",""
"variant_ef74dfa9680f.yml","classification","variant_search","","ef74dfa9680f","Pipeline Variant: mean+onehot+none+correlation","1.0","mean","","","onehot","","","none","","","none","","","","","","","correlation","0.9","","","ef74dfa9680f","none","30","grid_sample","","","","","","",""
"variant_efd2491e470b.yml","classification","variant_search","","efd2491e470b","Pipeline Variant: mean+smotetomek+label+none+none","1.0","mean","","","label","","","none","","","smotetomek","","","","","","","none","","","","efd2491e470b","medium","30","grid_sample","","","","","","",""
"variant_f05bcce7930a.yml","classification","variant_search","","f05bcce7930a","Pipeline Variant: mean+smotetomek+onehot+none+correlation","1.0","mean","","","onehot","","","none","","","smotetomek","","","","","","","correlation","0.85","","","f05bcce7930a","medium","30","grid_sample","","","","","","",""
"variant_f0b94bc9f14f.yml","classification","variant_search","","f0b94bc9f14f","Pipeline Variant: mean+smoteenn+onehot+robust+variance","1.0","mean","","","onehot","","","robust","","","smoteenn","","","","","","","variance","","","","f0b94bc9f14f","medium","30","grid_sample","","","","","","",""
"variant_f13cc498d053.yml","classification","variant_search","","f13cc498d053","Pipeline Variant: mean+smoteenn+onehot+robust+none","1.0","mean","","","onehot","","","robust","","","smoteenn","","","","","","","none","","","","f13cc498d053","medium","30","grid_sample","","","","","","",""
"variant_f2e60d6f1cf0.yml","classification","variant_search","","f2e60d6f1cf0","Pipeline Variant: mean+smoteenn+label+yeo_johnson+correlation","1.0","mean","","","label","","","yeo_johnson","","","smoteenn","","","","","","","correlation","0.85","","","f2e60d6f1cf0","medium","30","grid_sample","","","","","","",""
"variant_f375014a0980.yml","classification","variant_search","","f375014a0980","Pipeline Variant: mean+smoteenn+onehot+minmax+correlation","1.0","mean","","","onehot","","","minmax","","","smoteenn","","","","","","","correlation","0.9","","","f375014a0980","medium","30","grid_sample","","","","","","",""
"variant_f38477fb5c7e.yml","classification","variant_search","","f38477fb5c7e","Pipeline Variant: mean+label+standard+none","1.0","mean","","","label","","","standard","","","none","","","","","","","none","","","","f38477fb5c7e","none","30","grid_sample","","","","","","",""
"variant_f414a0518482.yml","classification","variant_search","","f414a0518482","Pipeline Variant: mean+smotetomek+onehot+minmax+variance","1.0","mean","","","onehot","","","minmax","","","smotetomek","","","","","","","variance","","","","f414a0518482","medium","30","grid_sample","","","","","","",""
"variant_f5a9cd890afe.yml","classification","variant_search","","f5a9cd890afe","Pipeline Variant: mean+smotetomek+label+minmax+none","1.0","mean","","","label","","","minmax","","","smotetomek","","","","","","","none","","","","f5a9cd890afe","medium","30","grid_sample","","","","","","",""
"variant_f6d2d6f1e944.yml","classification","variant_search","","f6d2d6f1e944","Pipeline Variant: mean+smotetomek+label+yeo_johnson+correlation","1.0","mean","","","label","","","yeo_johnson","","","smotetomek","","","","","","","correlation","0.85","","","f6d2d6f1e944","medium","30","grid_sample","","","","","","",""
"variant_f9c99b1ae895.yml","classification","variant_search","","f9c99b1ae895","Pipeline Variant: mean+smoteenn+label+robust+none","1.0","mean","","","label","","","robust","","","smoteenn","","","","","","","none","","","","f9c99b1ae895","medium","30","grid_sample","","","","","","",""
"variant_fa3cbe16ec3d.yml","classification","variant_search","","fa3cbe16ec3d","Pipeline Variant: mean+smoteenn+onehot+yeo_johnson+correlation","1.0","mean","","","onehot","","","yeo_johnson","","","smoteenn","","","","","","","correlation","0.85","","","fa3cbe16ec3d","medium","30","grid_sample","","","","","","",""
"variant_fd0a1a5f67ab.yml","classification","variant_search","","fd0a1a5f67ab","Pipeline Variant: mean+label+none+variance","1.0","mean","","","label","","","none","","","none","","","","","","","variance","","","","fd0a1a5f67ab","none","30","grid_sample","","","","","","",""
"variant_fdb1bade7f96.yml","classification","variant_search","","fdb1bade7f96","Pipeline Variant: mean+smoteenn+onehot+minmax+correlation","1.0","mean","","","onehot","","","minmax","","","smoteenn","","","","","","","correlation","0.85","","","fdb1bade7f96","medium","30","grid_sample","","","","","","",""
"variant_fdfba0908757.yml","classification","variant_search","","fdfba0908757","Pipeline Variant: mean+onehot+quantile+correlation","1.0","mean","","","onehot","","","quantile","","","none","","","","","","","correlation","0.85","","","fdfba0908757","none","30","grid_sample","","","","","","",""
"variant_fe6a595e51d1.yml","classification","variant_search","","fe6a595e51d1","Pipeline Variant: mean+smotetomek+onehot+standard+correlation","1.0","mean","","","onehot","","","standard","","","smotetomek","","","","","","","correlation","0.85","","","fe6a595e51d1","medium","30","grid_sample","","","","","","",""
"variant_fe89f53fba40.yml","classification","variant_search","","fe89f53fba40","Pipeline Variant: mean+smoteenn+onehot+none+none","1.0","mean","","","onehot","","","none","","","smoteenn","","","","","","","none","","","","fe89f53fba40","medium","30","grid_sample","","","","","","",""
"variant_fececd4f50a5.yml","classification","variant_search","","fececd4f50a5","Pipeline Variant: mean+smotetomek+label+standard+correlation","1.0","mean","","","label","","","standard","","","smotetomek","","","","","","","correlation","0.85","","","fececd4f50a5","medium","30","grid_sample","","","","","","",""
"variant_fee34bb63787.yml","classification","variant_search","","fee34bb63787","Pipeline Variant: mean+smoteenn+onehot+yeo_johnson+variance","1.0","mean","","","onehot","","","yeo_johnson","","","smoteenn","","","","","","","variance","","","","fee34bb63787","medium","30","grid_sample","","","","","","",""
"variant_ff7bf9cf419d.yml","classification","variant_search","","ff7bf9cf419d","Pipeline Variant: mean+onehot+minmax+correlation","1.0","mean","","","onehot","","","minmax","","","none","","","","","","","correlation","0.95","","","ff7bf9cf419d","none","30","grid_sample","","","","","","",""
"enterprise_lightning_01_mice_quantile_permutation.yml","classification","enterprise_lightning_fast","","enterprise_lightning_01_mice_quantile_permutation","MICE imputation + Quantile transform + Permutation importance (Research-backed, Kaggle-proven)","1.0","iterative","10","BayesianRidge","target","1.0","value","quantile","uniform","1000","borderline_smote","auto","5","","","","","permutation","median","10","auto","","","","","","","","","lightning_fast","180","van Buuren & Groothuis-Oudshoorn (2011): MICE imputation; Breiman (2001): Permutation importance for Random Forests"
"enterprise_lightning_02_knn_yeo_johnson_boruta.yml","classification","enterprise_lightning_fast","","enterprise_lightning_02_knn_yeo_johnson_boruta","KNN weighted imputation + Yeo-Johnson transform + Boruta selection","1.0","knn","","","catboost","","","yeo_johnson","","","smote_enn","auto","5","","","","","boruta","","","","","","","","","","","","lightning_fast","240","Troyanskaya et al. (2001): KNN imputation for microarray data; Yeo & Johnson (2000): New family of power transformations; Kursa & Rudnicki (2010): Boruta feature selection algorithm"
"enterprise_lightning_03_isolation_forest_robust_mutual_info.yml","classification","enterprise_lightning_fast","","enterprise_lightning_03_isolation_forest_robust_mutual_info","Isolation Forest outliers + Robust scaling + Mutual information selection","1.0","median","","","onehot","","ignore","robust","","","adasyn","auto","","isolation_forest","","","","mutual_info","","","","","","","","","","","","lightning_fast","200","Liu et al. (2008): Isolation Forest for anomaly detection; Kraskov et al. (2004): Mutual information estimation; Huber (1964): Robust M-estimators"
"recipe_clas_balanced_performance_0001.yml","classification","v1_generated","balanced_performance","recipe_clas_balanced_performance_0001","Preprocessing level 20, Feature engineering level 20","1.0","median","","","label","","error","standard","","","none","","","","","","","variance","0.01","","","","","","","Balanced Performance","30","20","0.95","","",""
"recipe_clas_balanced_performance_0002.yml","classification","v1_generated","balanced_performance","recipe_clas_balanced_performance_0002","Preprocessing level 20, Feature engineering level 50","1.0","median","","","label","","error","standard","","","none","","","","","","","mutual_info","","","","","","","","Balanced Performance","50","20","0.95","","",""
"recipe_clas_balanced_performance_0003.yml","classification","v1_generated","balanced_performance","recipe_clas_balanced_performance_0003","Preprocessing level 50, Feature engineering level 20","1.0","knn","","","onehot","","error","robust","","","smote","auto","5","","","","","variance","0.01","","","","","","","Balanced Performance","43","50","0.95","","",""
"recipe_clas_balanced_performance_0004.yml","classification","v1_generated","balanced_performance","recipe_clas_balanced_performance_0004","Preprocessing level 50, Feature engineering level 50","1.0","knn","","","onehot","","error","robust","","","smote","auto","5","","","","","mutual_info","","","","","","","","Balanced Performance","72","50","0.95","","",""
"recipe_clas_balanced_performance_0005.yml","classification","v1_generated","balanced_performance","recipe_clas_balanced_performance_0005","Preprocessing level 30, Feature engineering level 20","1.0","mode","","","onehot","","error","standard","","","none","","","","","","","variance","0.01","","","","","","","Balanced Performance","34","30","0.95","","",""
"recipe_clas_balanced_performance_0006.yml","classification","v1_generated","balanced_performance","recipe_clas_balanced_performance_0006","Preprocessing level 30, Feature engineering level 30","1.0","mode","","","onehot","","error","standard","","","none","","","","","","","variance","0.01","","","","","","","Balanced Performance","42","30","0.95","","",""
"recipe_clas_balanced_performance_0007.yml","classification","v1_generated","balanced_performance","recipe_clas_balanced_performance_0007","Preprocessing level 30, Feature engineering level 40","1.0","mode","","","onehot","","error","standard","","","none","","","","","","","mutual_info","","","","","","","","Balanced Performance","49","30","0.95","","",""
"recipe_clas_balanced_performance_0008.yml","classification","v1_generated","balanced_performance","recipe_clas_balanced_performance_0008","Preprocessing level 30, Feature engineering level 50","1.0","mode","","","onehot","","error","standard","","","none","","","","","","","mutual_info","","","","","","","","Balanced Performance","57","30","0.95","","",""
"recipe_clas_balanced_performance_0009.yml","classification","v1_generated","balanced_performance","recipe_clas_balanced_performance_0009","Preprocessing level 40, Feature engineering level 20","1.0","mode","","","onehot","","error","standard","","","none","","","","","","","variance","0.01","","","","","","","Balanced Performance","38","40","0.95","","",""
"recipe_clas_balanced_performance_0010.yml","classification","v1_generated","balanced_performance","recipe_clas_balanced_performance_0010","Preprocessing level 40, Feature engineering level 30","1.0","mode","","","onehot","","error","standard","","","none","","","","","","","variance","0.01","","","","","","","Balanced Performance","47","40","0.95","","",""
"recipe_clas_balanced_performance_0011.yml","classification","v1_generated","balanced_performance","recipe_clas_balanced_performance_0011","Preprocessing level 40, Feature engineering level 40","1.0","mode","","","onehot","","error","standard","","","none","","","","","","","mutual_info","","","","","","","","Balanced Performance","56","40","0.95","","",""
"recipe_clas_balanced_performance_0012.yml","classification","v1_generated","balanced_performance","recipe_clas_balanced_performance_0012","Preprocessing level 40, Feature engineering level 50","1.0","mode","","","onehot","","error","standard","","","none","","","","","","","mutual_info","","","","","","","","Balanced Performance","64","40","0.95","","",""
"recipe_clas_balanced_performance_0013.yml","classification","v1_generated","balanced_performance","recipe_clas_balanced_performance_0013","Preprocessing level 50, Feature engineering level 20","1.0","knn","","","onehot","","error","robust","","","smote","auto","5","","","","","variance","0.01","","","","","","","Balanced Performance","43","50","0.95","","",""
"recipe_clas_balanced_performance_0014.yml","classification","v1_generated","balanced_performance","recipe_clas_balanced_performance_0014","Preprocessing level 50, Feature engineering level 30","1.0","knn","","","onehot","","error","robust","","","smote","auto","5","","","","","variance","0.01","","","","","","","Balanced Performance","52","50","0.95","","",""
"recipe_clas_balanced_performance_0015.yml","classification","v1_generated","balanced_performance","recipe_clas_balanced_performance_0015","Preprocessing level 50, Feature engineering level 40","1.0","knn","","","onehot","","error","robust","","","smote","auto","5","","","","","mutual_info","","","","","","","","Balanced Performance","62","50","0.95","","",""
"recipe_clas_high_performance_0001.yml","classification","v1_generated","high_performance","recipe_clas_high_performance_0001","Preprocessing level 40, Feature engineering level 40","1.0","mode","","","onehot","","error","standard","","","none","","","","","","","mutual_info","","","","","","","","High Performance","56","40","0.95","","",""
"recipe_clas_high_performance_0002.yml","classification","v1_generated","high_performance","recipe_clas_high_performance_0002","Preprocessing level 40, Feature engineering level 80","1.0","mode","","","onehot","","error","standard","","","none","","","","","","","rfe","","","","","","","","High Performance","90","40","0.95","","",""
"recipe_clas_high_performance_0003.yml","classification","v1_generated","high_performance","recipe_clas_high_performance_0003","Preprocessing level 80, Feature engineering level 40","1.0","knn","","","target","","value","minmax","","","adasyn","auto","","","","","","mutual_info","","","","","","","","High Performance","81","80","0.72675","","",""
"recipe_clas_high_performance_0004.yml","classification","v1_generated","high_performance","recipe_clas_high_performance_0004","Preprocessing level 80, Feature engineering level 80","1.0","knn","","","target","","value","minmax","","","adasyn","auto","","","","","","rfe","","","","","","","","High Performance","131","80","0.72675","","",""
"recipe_clas_high_performance_0005.yml","classification","v1_generated","high_performance","recipe_clas_high_performance_0005","Preprocessing level 40, Feature engineering level 80","1.0","mode","","","onehot","","error","standard","","","none","","","","","","","rfe","","","","","","","","High Performance","90","40","0.95","","",""
"recipe_clas_high_performance_0006.yml","classification","v1_generated","high_performance","recipe_clas_high_performance_0006","Preprocessing level 50, Feature engineering level 40","1.0","knn","","","onehot","","error","robust","","","smote","auto","5","","","","","mutual_info","","","","","","","","High Performance","62","50","0.95","","",""
"recipe_clas_high_performance_0007.yml","classification","v1_generated","high_performance","recipe_clas_high_performance_0007","Preprocessing level 50, Feature engineering level 50","1.0","knn","","","onehot","","error","robust","","","smote","auto","5","","","","","mutual_info","","","","","","","","High Performance","72","50","0.95","","",""
"recipe_clas_high_performance_0008.yml","classification","v1_generated","high_performance","recipe_clas_high_performance_0008","Preprocessing level 50, Feature engineering level 60","1.0","knn","","","onehot","","error","robust","","","smote","auto","5","","","","","chi2","","","","","","","","High Performance","81","50","0.95","","",""
"recipe_clas_high_performance_0009.yml","classification","v1_generated","high_performance","recipe_clas_high_performance_0009","Preprocessing level 50, Feature engineering level 70","1.0","knn","","","onehot","","error","robust","","","smote","auto","5","","","","","chi2","","","","","","","","High Performance","91","50","0.95","","",""
"recipe_clas_high_performance_0010.yml","classification","v1_generated","high_performance","recipe_clas_high_performance_0010","Preprocessing level 50, Feature engineering level 80","1.0","knn","","","onehot","","error","robust","","","smote","auto","5","","","","","rfe","","","","","","","","High Performance","100","50","0.95","","",""
